id,timestamp,id_bon,id_magazin
1,2016-06-01 14:59:45,437022699107762,2
2,2016-07-28 03:39:23,10646238109945,5
3,2016-01-24 15:21:35,691322145777617,3
4,2016-02-20 10:33:55,911412658048617,4
5,2016-10-31 10:30:24,94854669448678,2
6,2016-02-20 05:35:12,369056901005818,5
7,2016-07-19 16:45:09,857477247991916,2
8,2016-09-09 21:51:26,36450327841671,2
9,2016-10-13 20:57:11,807523769087339,4
10,2016-01-10 08:09:51,691244598872466,2
11,2016-02-19 16:44:01,658582926016577,1
12,2016-12-01 00:07:11,849262478912041,5
13,2016-09-07 07:42:01,334142560976294,5
14,2016-04-23 06:58:24,729530391899840,3
15,2016-06-15 21:33:19,89120648574898,4
16,2016-10-08 21:32:16,552533597496188,3
17,2016-06-25 12:52:34,437917903059086,1
18,2016-02-15 15:49:08,662091553694568,5
19,2016-06-05 19:02:49,632413950529176,2
20,2016-05-19 23:08:21,49038481995238,2
21,2016-08-23 17:07:13,493934632234886,5
22,2016-05-16 06:36:32,317891835260778,2
23,2016-11-06 13:12:59,683154092563843,1
24,2016-08-22 13:52:03,111404313159470,1
25,2016-05-09 22:37:08,542719763452763,3
26,2016-01-21 12:21:49,982899504680576,4
27,2016-05-14 06:28:04,544455318675063,1
28,2016-01-07 21:41:31,573471661080674,3
29,2016-04-02 21:34:36,567975078095370,1
30,2016-08-10 14:26:00,428290799747793,1
31,2016-01-01 04:22:30,338490670175204,1
32,2016-11-14 07:41:30,573871697143233,3
33,2016-01-20 23:28:40,780754045757882,1
34,2016-07-13 20:21:09,921045247518628,3
35,2016-04-13 10:24:28,154625567166266,2
36,2016-12-10 08:38:12,101016791554926,2
37,2016-07-13 22:11:46,178160269397628,5
38,2016-12-21 06:34:22,483950159544599,1
39,2016-08-21 19:57:03,406411270698581,1
40,2016-02-19 03:40:09,598441628692889,4
41,2016-06-21 19:12:42,665427798095124,1
42,2016-05-04 17:39:29,290808164120770,4
43,2016-08-13 12:25:13,416253758212152,5
44,2016-08-09 03:15:31,674060973191542,2
45,2016-05-07 20:54:01,730058109417989,1
46,2016-01-08 15:20:25,909266364038162,4
47,2016-02-18 18:13:37,312383915997516,4
48,2016-02-16 11:41:28,480094822649063,1
49,2016-09-16 22:03:33,682971625984211,4
50,2016-03-05 02:10:20,881489755283848,1
51,2016-01-07 19:47:42,787227218620947,5
52,2016-04-22 18:55:30,396795254733633,4
53,2016-06-09 02:32:28,784438461904324,2
54,2016-03-12 05:20:16,864207353104440,4
55,2016-09-18 02:47:22,485928918904265,3
56,2016-08-03 20:43:36,307634691197169,1
57,2016-05-11 01:04:05,911493056163538,2
58,2016-11-29 10:30:33,940269242173615,4
59,2016-03-02 21:10:14,208296244624856,2
60,2016-03-22 11:34:30,330801348327922,3
61,2016-12-06 05:00:02,751604570155355,4
62,2016-09-08 22:28:00,58199202890721,4
63,2016-08-26 15:38:09,773522858227227,5
64,2016-04-29 01:54:30,466554495151932,4
65,2016-01-26 15:02:34,81364715163358,4
66,2016-09-25 22:31:42,464246075066910,4
67,2016-05-16 08:28:06,904096307264268,5
68,2016-11-28 21:51:11,694446183005225,2
69,2016-07-18 00:33:57,986996345187739,1
70,2016-06-30 15:39:48,658935182180609,1
71,2016-08-10 13:45:54,996453057763949,5
72,2016-04-14 07:40:07,165625062971323,4
73,2016-09-14 04:25:47,799800732499909,3
74,2016-10-14 14:29:11,970510619546994,2
75,2016-04-04 02:27:55,339986901287272,1
76,2016-07-24 18:42:08,632965363974657,3
77,2016-10-18 15:54:03,77723916745527,4
78,2016-05-21 09:10:14,769411150748118,4
79,2016-07-27 09:33:42,249942911728680,5
80,2016-01-29 14:44:31,839921722690463,1
