id_bon,id_produs
641970100997249,36
87111753256875,48
525943102504051,47
133143719631843,29
374630966614088,16
68198386006382,19
89945677189393,21
10603812476280,16
548781220157760,2
657982156422771,22
878409686891781,40
914479614266510,41
941653216173820,15
631927143993966,28
600530655387433,46
622132330542699,45
22854920173850,49
774247315488578,22
770260728206915,16
794779170308155,16
785103819845645,42
137275865574886,42
793475783552815,20
356723818539865,27
517007304351267,31
674668232390748,48
895168681199258,50
690744593537285,21
98527102028198,48
59653847182563,39
34775610941490,7
78048246827758,25
511547100385112,24
52301432059794,22
479369301169619,10
352435932989171,38
763564447524693,24
627981701914880,17
931332446306496,43
870495277852883,22
970988292605941,27
831129901138296,15
1829860944374,39
93371395868806,41
684592943249002,28
268491354833904,17
527780774747950,30
81926393848113,9
107817508432492,27
564730981659642,19
605455196165540,50
603585487790116,23
912565426566302,11
197193988838157,26
940213276685451,38
716130202455981,44
361711965126091,15
83437467015230,41
1731609194764,6
772480542775514,32
417401099493333,11
934509901755277,18
242187158322474,33
237907422116001,31
231255868349237,19
357787365563520,40
383566104677072,29
857101174583568,9
616969799527577,47
600803976185601,14
115886290718663,2
10946552852853,21
434140071975855,20
384072244446222,1
956798220703399,42
305935304554606,15
341908106874063,19
148181065824856,20
786295832986128,14
97729486221747,23
189177301948323,9
936406983526525,3
712067796740374,27
391288067465314,48
523487620241139,15
977489336940520,35
804667300807496,30
121262330890294,29
737322086443085,46
972607205133391,11
75570500395109,16
704203817781019,38
221026349605060,7
250382826050524,30
185027331603060,2
437726503350914,21
779769687262335,19
434475738467120,14
485360640111767,4
713803815130096,3
78878504204826,21
553359818671754,16
228862555575457,26
443372751750214,38
770457655244129,15
370875077602547,43
533553616745347,22
605103072497928,5
902980470620564,18
163206929063548,38
450684426592004,33
700320829451124,47
588466216395844,7
150073644097859,36
773283817253836,12
521490261010381,5
857451401261627,30
760336732649616,47
238763725162050,29
406411270698581,5
394046854712909,33
595190388932034,49
529677935940924,21
11691915213627,32
822769690659444,36
602107107643803,2
38783814930595,46
161745735365686,5
281845716895010,3
774808911693802,15
689604962776162,16
571050452647502,33
613920211174926,25
466223010499906,26
622132330542699,48
635737435568141,44
505473540900416,46
852396978324969,40
585288653613535,29
398520313043564,39
196669439729611,22
792641880650861,2
721773156379848,5
511547100385112,47
682870245925052,37
603522004122589,49
459560994697246,37
759164938017356,4
820259902902324,44
394438265481714,32
241926792621097,8
880710110892362,35
854713707371674,31
219252849407201,19
782727102934382,19
541553004587993,18
946590163925836,4
113943912243566,8
784132698864337,19
882832302754584,45
21955376287129,15
607011365433538,48
151717594680664,23
513035179857886,36
741479064648455,13
26217071311397,25
971052055387313,11
655968757533147,23
390793024159322,8
58199202890721,12
880414495084714,47
676178675100038,31
600270054581281,46
712491402788479,47
8010663884750,19
753720852615753,35
868848271426370,38
214683429202535,38
946383881653705,37
584801499924362,41
964533857756780,16
665090666098267,30
347041874633941,15
539005562966012,21
112627291558447,26
254174530060471,49
322751077334039,30
167292626801098,28
17098943978933,17
101521190848041,48
713812033974619,31
49038481995238,30
648788939241228,34
938052896143887,34
651954032865724,35
327443856119993,27
842124732751635,47
218142707394246,41
176581628676098,25
427457125141224,16
102242370494890,25
800014902853634,11
526162837642169,9
921917972798052,20
502768749853683,10
440678147087291,31
402272481600870,16
558675765587786,9
466773056007447,35
379424331650047,32
50526985209377,35
559963976761268,4
354470453063093,25
4656402830383,41
109106220292154,21
112795118503760,22
977289235805370,21
674999535250972,14
709111755821171,11
890086561290621,31
86970517791044,1
831129901138296,29
418788295275673,11
79591290407621,24
62121979809225,30
463455481111455,26
772715557876804,42
396319735907296,41
8010663884750,1
594671518680110,43
857166789833026,11
318761281274560,38
109723275484093,22
775476940125251,6
146704099753761,46
73209909626478,3
724916667130643,18
842496897799664,1
331180945413295,42
51192312625957,12
628278806846653,11
357848124445621,37
461554869132639,28
842124732751635,36
340733854632478,1
634174670523951,33
516093353941965,8
533123625961101,23
291391684473892,48
695628485481939,15
129310957729594,37
192965461942999,1
898069802844486,28
824476464159411,20
746398150237984,28
209287279216600,10
204141434140576,48
704203817781019,2
744753562942594,1
470729669655529,24
195007862850075,13
495809184539312,32
106656129463381,31
300312028947924,3
938442184922037,29
882832302754584,21
891793707815107,14
813607770948103,24
467105513761209,8
635138067583172,49
262868736698348,49
175358092641099,7
458017684852878,5
981788611396619,23
890086561290621,10
405802815265802,12
654684779660024,17
800014902853634,29
196743422758314,34
948158502167391,25
695103962544890,8
334802122899723,3
90453695083967,8
608905907384698,10
800014902853634,11
182412587804130,38
954551495693469,36
901281876845819,7
134266068469623,10
711137609685735,44
238232550882696,8
271578113687743,12
465267430685679,18
773476268916241,16
55363541432814,28
561850194296115,46
774857754566208,29
250180856991144,28
425217456337520,26
29279852402316,11
294259324320045,33
966283058407972,46
18844557799976,50
997440852337297,13
134666195689153,25
117658075011412,18
61727159374671,18
357852500230221,12
365498484712694,18
773476268916241,29
92180678547628,10
807208748213642,32
830790585015252,48
926536454086010,40
915710657672400,24
932004744328522,32
176022875628112,16
308187016779041,3
284718904296476,49
774829158958275,13
537741020788094,48
230724425803250,33
817542819218154,13
727741217646264,14
13552255087404,43
152496625385792,48
926108723287092,29
564730981659642,21
326307732212080,43
610283790784818,3
761952547882937,49
861440353548936,2
824401754767938,48
311825876743378,26
383922645644042,50
126526081261985,7
924187464896903,32
93440302684467,28
942421960469052,49
482692895763862,33
994143959529528,37
36686789534609,44
391570479923821,26
255221333497780,2
626619266198746,14
831338481140074,2
929113634726724,34
934509901755277,26
667881169851854,50
780754045757882,17
854977606878603,17
655634746777210,35
595934769886948,19
545496167630941,11
905829056069764,44
157469087699520,18
372757524524867,19
419041574870076,24
139978931375499,29
912536720040497,31
630917921571529,46
183706943789446,34
638497410116732,30
396438969817467,8
586635620243806,20
942620921570954,46
583008261174685,34
616074982543394,48
491254325560145,45
583320929542449,10
920188633022432,42
570664321700536,41
187477915712010,13
216165113100790,21
574728200561234,41
164037655423017,18
394046854712909,41
733342710397676,8
146748222011860,50
857477247991916,13
785140164810887,30
258799415243481,49
183706943789446,17
4289313434081,42
779093245865598,29
646287813762427,16
528420209574281,49
614159600468715,4
238758022113541,46
911013813717853,31
948233036908796,17
868848271426370,36
524182018793341,38
680721480512436,16
909376401248179,25
938052896143887,10
728806424830507,9
395333144083402,28
618543700123390,46
96664331760217,36
372429898440374,11
55550116359058,32
630679850052275,29
317202962758497,15
776582999196362,34
995610608318250,12
689604962776162,26
647177581338259,34
196440894822401,22
729041510816663,23
696427794609503,34
334142560976294,3
895379237297386,2
100830069175148,5
684016080779734,6
214242752907391,33
207136364007211,18
729425382270379,22
636106909756113,20
431144856966912,34
619130769959813,45
864124889453544,33
391039856506077,15
245349528260399,39
572070528795266,11
561729454288848,25
330652353093626,39
939714105506758,38
253638483175095,6
36066672107651,46
311828395004164,39
92645443391178,24
913166259763707,45
571985634070805,16
92645443391178,24
62121979809225,49
291028924684833,35
698085684120122,38
852089897989975,47
643280697606802,32
813885884676009,49
246150999817334,22
908875203232124,12
530189165852127,50
665291063833881,33
442944699488949,20
915443268752494,23
912565426566302,24
415424773918900,8
167292626801098,1
748095269856852,29
661470542500268,13
336185319990263,39
434032579878982,37
957620297041873,33
137642080841375,5
550021649179828,40
250382826050524,11
312618528867490,28
506050343740014,6
694424321800221,50
361799870885405,38
466020875458902,15
76502966052304,49
543588914401690,6
799204953186468,19
181223490822351,2
202529640691311,38
607926689694062,3
432432644387845,29
514155247284875,16
283772148203068,38
854436174675580,13
564242356783319,35
168242884822429,24
299109365930775,14
965438294573018,19
574890368201303,25
943792811368082,13
295782726310941,46
846302223411457,36
965111922400928,44
449176397446676,15
735662701721641,50
854436174675580,18
101448829185073,13
340490632218922,11
857636488686167,49
884955399944771,23
648788939241228,41
844825687176527,45
259479612242799,20
